scheme_code,scheme_name,amc,scheme_type,scheme_category_full,category,sub_category
153922,Kotak Gold Silver Passive FOF - Regular Plan - Growth,Kotak Mahindra Asset Management Company Limited.,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
153927,Axis Income Plus Arbitrage Passive FOF - Regular Plan - Growth Option,Axis Asset Management Co. Ltd.,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
153935,Bajaj Finserv Banking and Financial Services Fund - Regular - Growth,Bajaj Finserv Asset Management Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
153953,Groww Nifty Midcap 150 Index Fund Regular Growth,Groww Asset Management Limited,Open Ended,Other Scheme - Index Funds,Other,Index Funds
153943,Franklin India Multi-Factor Fund- Growth,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
153947,Edelweiss BSE Sensex ETF - Growth,Edelweiss Asset Management Limited,Open Ended,Other Scheme - Other  ETFs,Other,Other  ETFs
153950,LIC MF Consumption Fund-Regular Plan-Growth,LIC Mutual Fund Asset Management Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
153955,ANGEL ONE NIFTY TOTAL MARKET MOMENTUM QUALITY 50 INDEX FUND - REGULAR GROWTH,Angel One Asset Management Company Limited,Open Ended,Other Scheme - Index Funds,Other,Index Funds
153958,HDFC BSE India Sector Leaders Index Fund - Regular Plan - Growth Option,HDFC Asset Management Company Limited,Open Ended,Other Scheme - Index Funds,Other,Index Funds
153963,Axis Multi-Asset Active FoF - Regular Plan - Growth,Axis Asset Management Co. Ltd.,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
153966,Edelweiss Nifty 50 ETF - Growth,Edelweiss Asset Management Limited,Open Ended,Other Scheme - Other  ETFs,Other,Other  ETFs
153969,Kotak Rural Opportunities Fund - Regular Plan - Growth,Kotak Mahindra Asset Management Company Limited.,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
153974,Bandhan Healthcare Fund - Regular Plan - Growth,Bandhan AMC Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
153977,Old Bridge Arbitrage Fund Regular Growth,Old Bridge Asset Management Private Limited,Open Ended,Hybrid Scheme - Arbitrage Fund,Hybrid,Arbitrage Fund
153992,Groww Money Market Fund Regular Growth,Groww Asset Management Limited,Open Ended,Debt Scheme - Money Market Fund,Debt,Money Market Fund
153985,Mirae Asset Infrastructure Fund - Regular Plan - Growth,Mirae Asset Investment Managers (India) Pvt. Ltd,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
153988,PGIM India Multi Asset Allocation Fund - Regular Plan - Growth Option,PGIM India Asset Management Private Limite,Open Ended,Hybrid Scheme - Multi Asset Allocation,Hybrid,Multi Asset Allocation
154002,The Wealth Company Multi Asset Allocation Fund - Regular Growth,Wealth Company Asset Management Holdings Private Limited,Open Ended,Hybrid Scheme - Multi Asset Allocation,Hybrid,Multi Asset Allocation
154006,Mahindra Manulife Income Plus Arbitrage Active FOF - Regular - Growth,Mahindra Manulife Investment Management Pvt Ltd,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
154010,Capitalmind Liquid Fund - Regular-Growth,Capitalmind Asset Management Private Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
154012,DSP Nifty Midcap 150 Index Fund - Regular - Growth,DSP Asset Managers Private Limited,Open Ended,Other Scheme - Index Funds,Other,Index Funds
154016,DSP Nifty Smallcap 250 Index Fund - Regular - Growth,DSP Asset Managers Private Limited,Open Ended,Other Scheme - Index Funds,Other,Index Funds
154022,Union Consumption Fund - Regular Plan - Growth Option,Union Asset Management Company Private Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
154026,Navi Nifty Midsmall 400 Index Fund - Regular - Growth,Navi AMC Limited,Open Ended,Other Scheme - Index Funds,Other,Index Funds
154057,Groww Multi Asset Omni FOF Regular Growth,Groww Asset Management Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
154030,Kotak Nifty500 Momentum 50 Index Fund - Regular Plan - Growth,Kotak Mahindra Asset Management Company Limited.,Open Ended,Other Scheme - Index Funds,Other,Index Funds
154041,Abakkus Flexi Cap Fund - Regular - Growth,Abakkus Investment Managers Private Limited,Open Ended,Equity Scheme - Flexi Cap Fund,Equity,Flexi Cap Fund
154047,Abakkus Liquid Fund - Regular Plan - Growth,Abakkus Investment Managers Private Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
154102,Groww Small Cap Fund-Regular-Growth,Groww Asset Management Limited,Open Ended,Equity Scheme - Small Cap Fund,Equity,Small Cap Fund
154064,Tata BSE Multicap Consumption 50 30 20 Index Fund - Regular Plan Growth Option,Tata Asset Management Limited,Open Ended,Other Scheme - Index Funds,Other,Index Funds
